id,display_name,raw_location,guessed_country,guessed_country_iso3,url_img
1,Maxime Guery,France,France,FRA,https://dist.neo4j.com/wp-content/uploads/20230130163051/Maxime_Guery_Ninja.jpg
2,Elena Kohlwey,"Cologne, Germany",Germany,DEU,https://dist.neo4j.com/wp-content/uploads/20230301094803/Elena-Kohlwey-Ninja1.jpg
3,Arthur Namias de Crasto,Curaçao,Curaçao,CUW,https://dist.neo4j.com/wp-content/uploads/20230130164102/Arthur_Namias.jpg
4,Michael McKenzie,"Virginia, United States",United States of America,USA,https://dist.neo4j.com/wp-content/uploads/20230130164809/Michael_McKenzie_Ninja.jpg
5,Estelle Scifo,France,France,FRA,https://dist.neo4j.com/wp-content/uploads/20230130165246/Estelle_Scifo_Ninja2023.jpg
6,Eric Solender,"Pittsburg, United States",United States of America,USA,https://dist.neo4j.com/wp-content/uploads/20230130165713/Eric_Solender_Ninja.jpg
7,Ghlen Nagels,Belgium,Belgium,BEL,https://dist.neo4j.com/wp-content/uploads/20230130170555/Ghlen_Nagels_Ninja.jpg
8,Gabriel Tardif,Canada,Canada,CAN,https://dist.neo4j.com/wp-content/uploads/20230130170932/Gabriel_Tardif_Ninja3.jpg
9,Robert Piombino,"Minnesota, United States",United States of America,USA,https://dist.neo4j.com/wp-content/uploads/20230130171234/Robert_Piombino_Ninja.jpg
10,Michael Black,"Salt Lake City, United States",United States of America,USA,https://dist.neo4j.com/wp-content/uploads/20230130171515/Michael_Black_Ninja.jpg
11,Niklas Saers,Denmark,Denmark,DNK,https://dist.neo4j.com/wp-content/uploads/20230130171805/Niklas_Saers_Ninja.jpg
12,Luis Eduardo Almazan,Mexico,Mexico,MEX,https://dist.neo4j.com/wp-content/uploads/20230130172248/Luis_Eduardo_Almazan_Ninjas.png
13,Gal Engelberg,Israel,Israel,ISR,https://dist.neo4j.com/wp-content/uploads/20230130172447/Gal_Engelberg_Ninjas1.png
14,Grant Beasley,United Kingdom,United States of America,USA,https://dist.neo4j.com/wp-content/uploads/20230130172621/Grant-Beasley_Ninja.jpg
15,Ashleigh Faith,"Boston, United States",United States of America,USA,https://dist.neo4j.com/wp-content/uploads/20230130172730/Ashleigh_Faith_Ninja1.png
16,Sixing Huang,China,People's Republic of China,CHN,https://dist.neo4j.com/wp-content/uploads/20230130172948/Sixing_Huang_Ninja1.jpg
17,Philipp Brunenberg,"Bavaria, Germany",Germany,DEU,https://dist.neo4j.com/wp-content/uploads/20230130173142/Philipp_Brunenberg.jpg
18,David Hughes,"Seattle, United States",United States of America,USA,https://dist.neo4j.com/wp-content/uploads/20230208170230/David-Hughes-Ninja.jpg
19,Siraj Munir,"Marches, Italy",Italy,ITA,https://dist.neo4j.com/wp-content/uploads/20230130173520/Siraj_Munir_Ninja2.png
20,Gary Lilienfield,"Virginia, United States",United States of America,USA,https://dist.neo4j.com/wp-content/uploads/20230130173602/Gary_Lilienfield_Ninja1.jpg
21,Sebastian Daschner,"Munich, Germany",Germany,DEU,https://dist.neo4j.com/wp-content/uploads/20230130173855/Sebastian_Daschner_Ninja.jpg
22,Astrid Mochtarram,"Berlin, Germany",Germany,DEU,https://dist.neo4j.com/wp-content/uploads/20230130174153/Astrid_Mochtarram_Ninja1-1.jpg
23,Jan Žák,"Prague, Czech Republic",Czech Republic,CZE,https://dist.neo4j.com/wp-content/uploads/20230130174249/Jan_Zak_Ninja1.jpg
24,Mehul Gupta,"Hyderabad, India",India,IND,https://dist.neo4j.com/wp-content/uploads/20230130174612/Mehul_Gupta_Ninja.jpg
25,Konrad Kaliciński,"Wroclaw, Poland",Poland,POL,https://dist.neo4j.com/wp-content/uploads/20230214115356/Konrad-Kalicin%CC%81ski-Ninjas.jpg
26,Alejandro Puerto,"Mérida, Mexico",Mexico,MEX,https://dist.neo4j.com/wp-content/uploads/20230130180642/Alejandro_Puerto_Ninja1.png
27,Sean Robinson,"Chicago, United States",United States of America,USA,https://dist.neo4j.com/wp-content/uploads/20230130180837/Sean_Robinson_Ninja.png
28,Tawanda Ewing,South Africa,Australia,AUS,https://dist.neo4j.com/wp-content/uploads/20230131102406/Tawanda_Ewing_Ninjas1.jpg.png
29,Justin Napolitano,"Houston, United States",United States of America,USA,https://dist.neo4j.com/wp-content/uploads/20230130181327/Justin_Napolitano_Ninja.jpg
30,Djordje Benn Maksimovic,"Berlin, Germany",Germany,DEU,https://dist.neo4j.com/wp-content/uploads/20230130181440/Djordje_Benn-Maksimovic_Ninjas1.jpg
31,Fatjan Lala,"Basel, Switzerland",Switzerland,CHE,https://dist.neo4j.com/wp-content/uploads/20230130181858/Fatjan_Lala.jpg
32,Ido Faran,Israel,Israel,ISR,https://dist.neo4j.com/wp-content/uploads/20230130181940/ido_Faran_Ninja2.png
33,Nikita Wootten,"Baltimore, United States",United States of America,USA,https://dist.neo4j.com/wp-content/uploads/20230130182142/Nikita_Wootten_Ninja.jpg
34,Ron van Weverwijk,"Utrecht, Netherlands",Netherlands,NLD,https://dist.neo4j.com/wp-content/uploads/20160912135453/ron-van-weverwijk-2016.jpg
35,Mark Heckler,"Illinois, United States",United States of America,USA,https://dist.neo4j.com/wp-content/uploads/20230130182310/Mark_Heckler_Ninja1.jpg
36,Olga Kogan,Israel,Israel,ISR,https://dist.neo4j.com/wp-content/uploads/20230130182417/Olga_Kogan_Ninja1.jpg
37,Donovan Bergin,"Arkansas, United States",United States of America,USA,https://dist.neo4j.com/wp-content/uploads/20230130182827/Donovan_Bergin_Ninja2.png
38,Filippo Minutella,"Venice, Italy",Italy,ITA,https://dist.neo4j.com/wp-content/uploads/20230130182939/Filippo_Minutella_Ninja.png
39,Koji Annoura,Japan,Japan,JPN,https://dist.neo4j.com/wp-content/uploads/20180604124541/KojiAnnoura_200x200.jpg
40,Trinette Brownhill,"Houston, United States",United States of America,USA,https://dist.neo4j.com/wp-content/uploads/20230130183248/Trinette_Brownhill_Ninja2.png
41,Zihao Zhang,China,People's Republic of China,CHN,https://dist.neo4j.com/wp-content/uploads/20230130183819/Zihao_Zhang_Ninja.png
42,Mananai Saengsuwan,Thailand,Thailand,THA,https://dist.neo4j.com/wp-content/uploads/20230130183926/Mananai_Saengsuwan_Ninja.jpg
43,Frank Zhao,China,People's Republic of China,CHN,https://dist.neo4j.com/wp-content/uploads/20230130184026/Frank_Zhao_Ninja.png
44,Jamie Gaskins,"Baltimore, United States",United States of America,USA,https://dist.neo4j.com/wp-content/uploads/20230130184114/Jamie_Gaskins_Ninja.jpg
45,Drabo Constantin,"Ouagadougou, Burkina Faso",Burkina Faso,BFA,https://dist.neo4j.com/wp-content/uploads/20230130184509/Drabo_Constantin_Ninja.jpg
46,Sefik Ilkin Serengil,"London, United Kingdom",United Kingdom,GBR,https://dist.neo4j.com/wp-content/uploads/20230130184608/Sefik-lkin-Serengil_Ninja.jpg
47,Cüneyt Tyler,"Istambul, Turkey",Turkey,TUR,https://dist.neo4j.com/wp-content/uploads/20230130184730/cuneyt_tyler_Ninja.png
48,Roei Levi,Israel,Israel,ISR,https://dist.neo4j.com/wp-content/uploads/20230130184841/Roei_Levi_Ninja.jpg
49,John Dag Addy,"Accra, Republic of Ghana",Ghana,GHA,https://dist.neo4j.com/wp-content/uploads/20230130193427/John-Dag_Addy_Ninja.jpg
50,John Maiden,"New Jersey, United States",United States of America,USA,https://dist.neo4j.com/wp-content/uploads/20230130193606/John_Maiden1_Ninja.jpg
51,Antonio Origlia,"Naples, Italy",Italy,ITA,https://dist.neo4j.com/wp-content/uploads/20230130194434/Antonio_Origlia_Ninja.jpg
52,Vlad Batushkov,Thailand,Thailand,THA,https://dist.neo4j.com/wp-content/uploads/20230130193705/Vlad_Batushkov_Ninja.jpg
53,Tomaz Bratanic,Slovenia,Slovenia,SVN,https://dist.neo4j.com/wp-content/uploads/20230130192803/Tomaz_Bratanic_Ninja.jpg
54,Alexandre Podar,"São Paulo, Brazil","",BRA,https://dist.neo4j.com/wp-content/uploads/20230130193001/Alexandre_Poda_Ninja.png
55,Dairon Perez,Cuba,Cuba,CUB,https://dist.neo4j.com/wp-content/uploads/20230130193055/Dairon_Perez_Ninja.jpg
56,Neylson Crepalde,"São Paulo, Brazil","",BRA,https://dist.neo4j.com/wp-content/uploads/20230130193156/Neylson_Crepalde_Ninja.jpg
57,Sergio Haro,Mexico,Mexico,MEX,https://dist.neo4j.com/wp-content/uploads/20230130194531/Sergio_Haro_Ninja.png
58,Agung Raka Wibawa,Indonesia,Indonesia,IDN,https://dist.neo4j.com/wp-content/uploads/20230130194720/Agung-Raka-Wibawa-Ninja1.jpg
59,Charchit Kapoor,India,India,IND,https://dist.neo4j.com/wp-content/uploads/20230130194914/Charchit-Kapoor-Ninja.jpg
60,Yogesh Kulkarni,India,India,IND,https://dist.neo4j.com/wp-content/uploads/20230130195005/Yogesh_H_Kulkarni_Ninja.png
61,Thomas Larsen,"North Carolina, United States",United States of America,USA,https://dist.neo4j.com/wp-content/uploads/20230130200119/Thomas_Larsen_Ninja.png
62,Irsyad Adam,"Los Angeles, United States",United States of America,USA,https://dist.neo4j.com/wp-content/uploads/20230130200307/Irsyad_Adam_Ninja.jpg
63,Joel_Duerksen,"Orlando, Florida",United States of America,USA,https://dist.neo4j.com/wp-content/uploads/20230130200405/Joel_Duerksen_Ninja1.jpg
64,Gabriel Matei Toma,Belgium,Belgium,BEL,https://dist.neo4j.com/wp-content/uploads/20230130200543/Gabriel_Toma_Ninja.png
65,Christophe Willemsen,"Lecce, Italy",Italy,ITA,https://dist.neo4j.com/wp-content/uploads/20170617222625/christophe-willemsen-senior-consultant-graphaware.jpg
66,Luanne Misquitta,"Lisbon, Portugal",Portugal,PRT,https://dist.neo4j.com/wp-content/uploads/20170410133348/luanne-misquitta-graphconnect-europe-2017.jpg
67,Bhavesh Bhatt,"Mumbai, India",India,IND,https://dist.neo4j.com/wp-content/uploads/20230216155800/Bhavesh_Bhatt_Ninja.jpeg
68,Tom Nijhof,Netherlands,United States of America,USA,https://dist.neo4j.com/wp-content/uploads/20230222170127/Tom-Nijhof-Ninja.png
69,Jose Bacoy,"Virginia, US",United States of America,USA,https://dist.neo4j.com/wp-content/uploads/20230302160919/Jose-Bacoy-Ninja.jpg
70,Adrien Sales,"Nouméa, New Caledonia","",NCL,https://dist.neo4j.com/wp-content/uploads/20230306141013/Adrien-Sales-Ninja.png
